,antecedents,consequents,support,confidence,lift
107,frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),frozenset({'68b2b73a-9989-4690-b53f-24797df77fa5'}),0.00315955766192733,0.16,7.790769230769231
108,frozenset({'75e68e51-76db-403c-8b5f-df6474ed9315'}),frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),0.00315955766192733,0.4,20.256
109,frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),frozenset({'75e68e51-76db-403c-8b5f-df6474ed9315'}),0.00315955766192733,0.16,20.256
110,frozenset({'7d6e9c3c-5690-4ef8-9cfc-82c152172b2f'}),frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),0.002369668246445498,0.15000000000000002,7.596000000000001
111,frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),frozenset({'7d6e9c3c-5690-4ef8-9cfc-82c152172b2f'}),0.002369668246445498,0.12000000000000001,7.596000000000001
112,frozenset({'969882f8-1761-439e-a771-883630cf0845'}),frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),0.001579778830963665,0.10526315789473684,5.330526315789474
114,frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),frozenset({'cbd025bc-91d1-4ba7-aedf-ce602f0c45dc'}),0.002369668246445498,0.12000000000000001,9.495000000000001
115,frozenset({'cbd025bc-91d1-4ba7-aedf-ce602f0c45dc'}),frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),0.002369668246445498,0.18750000000000003,9.495000000000001
118,frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),frozenset({'4492c363-e585-4930-a90f-57a1af7454fe'}),0.002369668246445498,0.15000000000000002,10.550000000000002
119,frozenset({'4492c363-e585-4930-a90f-57a1af7454fe'}),frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),0.002369668246445498,0.16666666666666669,10.550000000000002
123,frozenset({'56064e4a-ad4d-4831-8820-92a1e9ba4c4c'}),frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),0.001579778830963665,0.11764705882352941,7.447058823529412
124,frozenset({'5a24a374-f232-4120-ad0e-e979e9d91331'}),frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),0.002369668246445498,0.15789473684210528,9.994736842105265
125,frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),frozenset({'5a24a374-f232-4120-ad0e-e979e9d91331'}),0.002369668246445498,0.15000000000000002,9.994736842105265
126,frozenset({'5babdefa-3b3e-4f1b-b13c-087766f449ec'}),frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),0.001579778830963665,0.10526315789473684,6.663157894736842
128,frozenset({'7ce7ac62-c214-492b-9ebf-0a30ec067181'}),frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),0.001579778830963665,0.14285714285714285,9.042857142857143
130,frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),frozenset({'819ae8ea-ff63-4ce6-abd1-bebbffb7e2c7'}),0.002369668246445498,0.15000000000000002,14.60769230769231
131,frozenset({'819ae8ea-ff63-4ce6-abd1-bebbffb7e2c7'}),frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),0.002369668246445498,0.23076923076923078,14.607692307692309
132,frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),frozenset({'9ead8fe4-e2f9-40de-8af1-426dec416fd5'}),0.002369668246445498,0.15000000000000002,9.994736842105265
133,frozenset({'9ead8fe4-e2f9-40de-8af1-426dec416fd5'}),frozenset({'0408a8b3-8ebd-4533-9bf5-f92d2348db66'}),0.002369668246445498,0.15789473684210528,9.994736842105265
